LSOA Code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,lsoa11cd,lsoa11nm,IMDScore,IncScore,EmpScore,EduScore,HDDScore,CriScore,BHSScore,EnvScore,IDCScore,IDOScore,CYPScore,ASScore,GBScore,WBScore,IndScore,OutScore
E01003660,8,7,0,1,0,5,0,2,14,15,E01003660,Redbridge 004D,6.729,0.035,0.027,10.312,-1.4,-0.501,25.664,18.69,0.058,0.063,-0.437,0.275,0.395,0.726,-0.319,0.722
E01003661,1,12,4,2,0,0,7,10,15,24,E01003661,Redbridge 019A,18.026,0.139,0.085,9.502,0.13,0.272,20.24,19.797,0.189,0.179,-0.867,0.295,-1.173,2.45,-0.137,0.618
E01003662,16,17,6,5,2,8,18,29,39,60,E01003662,Redbridge 019B,18.066,0.135,0.072,10.301,-0.304,0.444,26.54,25.999,0.157,0.216,-0.684,0.295,-1.254,3.701,0.141,0.84
E01003663,6,9,4,0,0,6,1,5,24,25,E01003663,Redbridge 019C,15.078,0.133,0.065,12.126,-0.602,-0.034,24.362,20.655,0.117,0.199,-0.508,0.306,-0.506,2.738,-0.294,0.883
E01003664,5,13,1,1,1,2,3,3,30,36,E01003664,Redbridge 019D,15.719,0.13,0.088,10.144,-0.842,-0.451,23.627,24.961,0.139,0.218,-0.757,0.298,-0.416,2.439,0.283,0.479
E01003665,7,9,2,1,0,2,4,3,12,16,E01003665,Redbridge 019E,11.889,0.097,0.056,13.226,-0.773,-0.232,19.652,22.757,0.081,0.259,-0.551,0.322,-0.798,2.098,0.106,0.566
E01003666,24,20,10,2,1,11,4,15,24,59,E01003666,Redbridge 019F,20.279,0.161,0.104,11.323,-0.508,-0.313,30.152,26.641,0.188,0.246,-0.324,0.277,-0.514,3.808,0.278,0.67
E01003668,6,10,2,2,0,9,1,42,39,24,E01003668,Redbridge 007A,8.929,0.063,0.035,3.549,-0.776,0.245,19.115,26.067,0.1,0.12,-0.634,0.149,-0.614,1.78,-0.182,1.245
E01003669,8,13,6,3,1,2,2,35,36,13,E01003669,Redbridge 007B,6.169,0.028,0.027,1.472,-1.292,0.013,17.469,30.586,0.029,0.063,-1.218,0.147,-0.356,1.018,0.0,1.405
E01003670,4,5,1,0,0,0,2,4,26,10,E01003670,Redbridge 007C,9.549,0.067,0.055,3.48,-1.244,-0.482,26.97,22.237,0.083,0.072,-1.36,0.219,0.162,1.798,-0.316,1.046
E01003671,2,9,0,0,0,1,3,1,25,7,E01003671,Redbridge 007D,3.631,0.029,0.026,1.572,-1.257,-0.381,12.947,18.014,0.022,0.056,-1.617,0.176,-0.163,-0.605,-0.57,0.868
E01003672,8,12,1,2,0,3,6,14,25,25,E01003672,Redbridge 007E,17.186,0.142,0.075,5.954,-0.21,-0.126,24.162,31.256,0.184,0.294,-0.518,0.208,-1.25,3.258,-0.064,1.529
E01003673,8,8,2,0,1,2,2,8,26,17,E01003673,Redbridge 007F,10.701,0.041,0.035,2.812,-1.272,-0.01,27.399,44.068,0.055,0.055,-0.798,0.153,-0.011,2.384,0.635,1.561
E01003674,16,21,3,4,0,12,13,108,52,66,E01003674,Redbridge 007G,8.999000000000002,0.06,0.035,2.072,-0.723,0.008,24.537,25.95,0.045,0.232,-1.052,0.159,-0.553,2.833,-0.429,1.43
